Chip Run Info,C:\Users\Pierre\Desktop\hIPSC project\1362362588_plate2_v2_human_lineage_10-4-18\ChipRun.bml,1362362588,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,10/04/2018 3:51:47 PM,01:54:01,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.3.1
Application Build,20170404.1035
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S06-A57,FA1 Day3 B,Unknown,1,Fabp7,Test,20.505497027503,1,Pass,0.0113351551779112,78.8715191413149,999,1
S06-A56,FA1 Day3 B,Unknown,1,Myh7,Test,999,0,Fail,0.0113351551779112,999,999,0
S06-A55,FA1 Day3 B,Unknown,1,Igf2,Test,22.3099968762488,1,Pass,0.0113351551779112,86.9013832578695,999,1
S06-A66,FA1 Day3 B,Unknown,1,Ctsk,Test,21.8246604761651,1,Pass,0.0113351551779112,80.5735778481626,999,1
S06-A65,FA1 Day3 B,Unknown,1,Apoh,Test,999,0,Fail,0.0113351551779112,999,999,0
S06-A64,FA1 Day3 B,Unknown,1,Ins,Test,999,0,Fail,0.0113351551779112,999,999,0
S06-A63,FA1 Day3 B,Unknown,1,Sox17,Test,20.3121010945619,1,Pass,0.0113351551779112,85.5787601608101,999,1
S06-A62,FA1 Day3 B,Unknown,1,Nodal,Test,19.8067109485663,1,Pass,0.0113351551779112,84.8613602997472,999,1
S06-A61,FA1 Day3 B,Unknown,1,Nanog,Test,19.6050405242621,1,Pass,0.0113351551779112,81.000169954738,999,1
S06-A72,FA1 Day3 B,Unknown,1,B2m,Test,16.5241182007541,1,Pass,0.0113351551779112,81.5652441114756,999,1
S06-A71,FA1 Day3 B,Unknown,1,Otx2,Test,17.1742945112723,1,Pass,0.0113351551779112,82.2738485007593,999,1
S06-A70,FA1 Day3 B,Unknown,1,Pou4f1,Test,999,0,Fail,0.0113351551779112,999,999,0
